0,0 VDA Information Security Assessment (DE),3,<b>Welcome to</b>,,,,,,4.1.1
,,,<b>Recipient:</b>,,,,,,
,,,"Information Security, Local IT, Procurement",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of treated risks/population of risks identified in the acquisition process,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. quarterly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Procurement, specialized departments (requisitioner), IT",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"Acquisition register, ordering system",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.36,100.3.36 Coverage degree of risk assessment in software development process,3,14.2 Security during the software development process,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Information security risks associated with the applications to be developed shall be identified as early as possible in the process of software development.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Security risks are taken into account in the software development process,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Information Security, Local IT, Risk Management",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of software development projects that underwent risk assessment/population of relevant development projects,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,Quotient: number of software development projects that underwent risk assessment/population of relevant development projects,,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Procurement, specialized departments (requisitioner), IT",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"Development system, development project data base",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.37,100.3.37 Effectiveness of risk handling in development process,3,14.2 Security during the software development process,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Risks identified in the process of software development are treated in a timely and effective manner.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Security risks are addressed in the development process in an effective manner,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Information Security, Local IT, Risk Management",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of treated risks/population of risks identified in the development process,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. quarterly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Procurement, specialized departments (requisitioner), IT",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"Development system, development project data base",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.38,100.3.38 Coverage degree of activities to eliminate vulnerabilities determined during audits,3,18.4 Effectiveness review,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Weaknesses identified in the course of information security audits (internal and external) shall be eliminated in a consequent and traceable manner. Findings shall not remain unaddressed.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All weaknesses identified in the course of audits are traced and assigned to activities,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Information Security, Corporate Security, Local IT, Internal Audit",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of findings subject to subsequent activities/population of identified findings,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. quarterly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Internal Auditors, Information Security, IT, specialized departments (Auditee",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"Audit data base, follow-up data base",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,10 years,,,,,,
,,,,,,,,,
100.3.39,100.3.39 Timely elimination of vulnerabilities determined during audits,3,18.4 Effectiveness review,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Weaknesses identified in the course of information security audits (internal and external) are eliminated within the deadlines agreed (with the audited departments).,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Weaknesses identified in the course of audits are eliminated within the defined time and in an effective manner,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Information Security, Corporate Security, Local IT, Internal Audit",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of activities for eliminating vulnerabilities within the defined period for implementation/population of all specified activities,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. quarterly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Internal Auditors, Information Security, IT, specialized departments (Auditees)",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"Audit data base, follow-up data base",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,10 years,,,,,,
,,,,,,,,,
100.4,100.4 References,3,,,,,,,
100.4.1,100.4.1 Security zones,3,,,,,,,
100.4.1.1,100.4.1.1 White (public),3,"Areas of public character, which are permanently or temporarily accessible to everyone. Areas with low risk without particularly sensitive values. None or only preventive safety requirements. Domestic authority exists. (e.g. visitors' parking space, connecting routes)",,,,,,
,,,,,,,,,
,,,<b>Aspect</b>,,,,,,
,,,,,,,,,
,,,<b>Accessibility</b>,,,,,,
,,,No special requirements,,,,,,
,,,,,,,,,
,,,<b>Visitor requirements</b>,,,,,,
,,,Appropriate signs,,,,,,
,,,,,,,,,
,,,<b>Driving on/parking</b>,,,,,,
,,,Permitted,,,,,,
,,,,,,,,,
,,,<b>Access control and protection</b>,,,,,,
,,,None,,,,,,
,,,,,,,,,
,,,<b>Monitorings</b>,,,,,,
,,,"If required, camera surveillance (prevention of damage to property)",,,,,,
,,,,,,,,,
,,,<b>Resistance values</b>,,,,,,
,,,-,,,,,,
,,,,,,,,,
,,,<b>Response time (alarm to visual inspection and acknowledgment)</b>,,,,,,
,,,-,,,,,,
,,,,,,,,,
,,,<b>Photography/use of optics</b>,,,,,,
,,,-,,,,,,
,,,,,,,,,
100.4.1.2,100.4.1.2 Green (controlled zone),3,"Area with technical or organizationally controlled safety measures, not freely accessible, usually internal scopes",,,,,,
,,,,,,,,,
,,,<b>Aspect</b>,,,,,,
,,,,,,,,,
,,,<b>Accessibility</b>,,,,,,
,,,"Values cannot be viewed freely, Clean Desk",,,,,,
,,,,,,,,,
,,,<b>Visitor requirements</b>,,,,,,
,,,"Only registered visitors, explicit reference to confidentiality/non-disclosure",,,,,,
,,,,,,,,,
,,,<b>Driving on/parking</b>,,,,,,
,,,Vehicles are allowed to drive on/park only after registration.,,,,,,
,,,,,,,,,
,,,<b>Access control and protection</b>,,,,,,
,,,Area must be protected against unauthorized access (personnel or technical measures),,,,,,
,,,,,,,,,
,,,<b>Monitorings</b>,,,,,,
,,,Camera surveillance and/or patrolling (prevention of unauthorized penetration),,,,,,
,,,,,,,,,
,,,<b>Resistance values</b>,,,,,,
,,,"Fences 2.2m with anti-climbing protection and undermine protection/building shell consisting of windows, doors, walls, roofs",,,,,,
,,,,,,,,,
,,,<b>Response time (alarm to visual inspection and acknowledgment)</b>,,,,,,
,,,30 minutes,,,,,,
,,,,,,,,,
,,,<b>Photography/use of optics</b>,,,,,,
,,,"No internal information, otherwise only using business devices",,,,,,
,,,,,,,,,
100.4.1.3,100.4.1.3 Yellow (restricted zone),3,"Area with additional safety measures, restrictive, protection of special scopes, limited number of persons, usually confidential scopes as well.",,,,,,
,,,,,,,,,
,,,<b>Aspect</b>,,,,,,
,,,,,,,,,
,,,<b>Accessibility</b>,,,,,,
,,,Temporary measures (according to the risk analysis) for sight protection/noise reduction,,,,,,
,,,,,,,,,
,,,<b>Visitor requirements</b>,,,,,,
,,,"Restricted group of visitors, written confirmation of the non-disclosure, in permanent personal escort by own staff",,,,,,
,,,,,,,,,
,,,<b>Driving on/parking</b>,,,,,,
,,,Special restrictions,,,,,,
,,,,,,,,,
,,,<b>Access control and protection</b>,,,,,,
,,,"Monitoring the entering/exiting of the zones via online access reader, compensating locking system with limited circle",,,,,,
,,,,,,,,,
,,,<b>Monitorings</b>,,,,,,
,,,"Camera surveillance, motion detection at least in the access areas or easily accessible areas (e.g., ground floor windows)",,,,,,
,,,,,,,,,
,,,<b>Resistance values</b>,,,,,,
,,,At least RC 2 or compensating measures,,,,,,
,,,,,,,,,
,,,<b>Response time (alarm to visual inspection and acknowledgment)</b>,,,,,,
,,,10 minutes,,,,,,
,,,,,,,,,
,,,<b>Photography/use of optics</b>,,,,,,
,,,"No use of private devices, business devices only in case of professional assignment",,,,,,
,,,,,,,,,
100.4.1.4,100.4.1.4 Red (high risk zone),3,"Area with the highest security requirements, protection of sensitive values strictly regulated access rights, usually secret scopes.",,,,,,
,,,,,,,,,
,,,<b>Aspect</b>,,,,,,
,,,,,,,,,
,,,<b>Accessibility</b>,,,,,,
,,,Permanent sight protection/noise reduction,,,,,,
,,,,,,,,,
,,,<b>Visitor requirements</b>,,,,,,
,,,"Only in exceptional cases: additionally to „Yellow“ four-eyes principle, householder’s consent",,,,,,
,,,,,,,,,
,,,<b>Driving on/parking</b>,,,,,,
,,,Special restrictions,,,,,,
,,,,,,,,,
,,,<b>Access control and protection</b>,,,,,,
,,,Monitoring the entering/exiting of the zones via online access reader,,,,,,
,,,,,,,,,
,,,<b>Monitorings</b>,,,,,,
,,,"Camera surveillance, glass breakage detector, windows with sight protection, double illumination with motion detectors, central circuit, intrusion detection system installed by professionals",,,,,,
,,,,,,,,,
,,,<b>Resistance values</b>,,,,,,
,,,At least RC 2 (resistance time 5 minutes) with additional measures,,,,,,
,,,,,,,,,
,,,<b>Response time (alarm to visual inspection and acknowledgment)</b>,,,,,,
,,,5 minutes,,,,,,
,,,,,,,,,
,,,<b>Photography/use of optics</b>,,,,,,
,,,"No private devices, business devices in exceptional cases only Four-eyes principle, approval by company management",,,,,,
,,,,,,,,,
100.4.2,100.4.2 Optics,3,,,,,,,
100.4.2.1,100.4.2.1 Public area,3,"Areas of public character, which are permanently or temporarily accessible to everyone. Areas with low risk without particularly sensitive values. None or only preventive safety requirements. Subject to householders rights (e.g. visitors' parking space, connecting routes)",,,,,,
,,,,,,,,,
,,,<b>Aspect „carrying along“</b>,,,,,,
,,,,,,,,,
,,,<b>Company owned devices (independent from Mobile Device Management (MDM))</b>,,,,,,
,,,No special requirements,,,,,,
,,,,,,,,,
,,,<b>Private devices of company employees (wearables with optics as well)</b>,,,,,,
,,,No special requirements,,,,,,
,,,,,,,,,
,,,<b>Devices of contractors and visitors (wearables with optics as well)</b>,,,,,,
,,,No special requirements,,,,,,
,,,,,,,,,
,,,<b>Aspect „use“</b>,,,,,,
,,,,,,,,,
,,,<b>Video telephony/video conferencing (without recording)</b>,,,,,,
,,,No special requirements,,,,,,
,,,,,,,,,
,,,<b>Photography/video recordings</b>,,,,,,
,,,No special requirements,,,,,,
,,,,,,,,,
,,,<b>Recording of persons and sound recording with company owned devices</b>,,,,,,
,,,Declaration of consent required,,,,,,
,,,,,,,,,
100.4.2.2,100.4.2.2 Green (photo-security area 1),3,"Area with technical or organizationally controlled security measures, not freely accessible, usually internal scopes",,,,,,
,,,,,,,,,
,,,<b>Aspect „carrying along“</b>,,,,,,
,,,,,,,,,
,,,<b>Company owned devices (independent from Mobile Device Management (MDM))</b>,,,,,,
,,,Carrying along unsealed devices allowed,,,,,,
,,,,,,,,,
,,,<b>Private devices of company employees (wearables with optics as well)</b>,,,,,,
,,,Carrying along unsealed devices allowed,,,,,,
,,,,,,,,,
,,,<b>Devices of contractors and visitors (wearables with optics as well)</b>,,,,,,
,,,Carrying along unsealed devices allowed,,,,,,
,,,,,,,,,
,,,<b>Aspect „use“</b>,,,,,,
,,,,,,,,,
,,,<b>Video telephony/video conferencing (without recording)</b>,,,,,,
,,,Allowed in all areas,,,,,,
,,,,,,,,,
,,,<b>Photography/video recordings</b>,,,,,,
,,,"- No use of private devices or devices of contractors/visitors
- Allowed with company owned devices",,,,,,
,,,,,,,,,
,,,<b>Recording of persons and sound recording with company owned devices</b>,,,,,,
,,,Declaration of consent required,,,,,,
,,,,,,,,,
100.4.2.3,100.4.2.3 Yellow (Photo-security area 2),3,"Area with additional security measures, restrictive, protection of special scopes, limited number of persons, usually confidential scopes as well.",,,,,,
,,,,,,,,,
,,,<b>Aspect „carrying along“</b>,,,,,,
,,,,,,,,,
,,,<b>Company owned devices (independent from Mobile Device Management (MDM))</b>,,,,,,
,,,Carrying along unsealed devices allowed,,,,,,
,,,,,,,,,
,,,<b>Private devices of company employees (wearables with optics as well)</b>,,,,,,
,,,Carrying along unsealed devices allowed,,,,,,
,,,,,,,,,
,,,<b>Devices of contractors and visitors (wearables with optics as well)</b>,,,,,,
,,,"Carrying along sealed devices allowed
Carrying along unsealed devices forbidden",,,,,,
,,,,,,,,,
,,,<b>Aspect „use“</b>,,,,,,
,,,,,,,,,
,,,<b>Video telephony/video conferencing (without recording)</b>,,,,,,
,,,"Allowed in office workplaces and meeting rooms, otherwise upon approval",,,,,,
,,,,,,,,,
,,,<b>Photography/video recordings</b>,,,,,,
,,,"- No use of private devices or devices of contractors/visitors
allowed with company owned devices upon approval",,,,,,
,,,,,,,,,
,,,<b>Recording of persons and sound recording with company owned devices</b>,,,,,,
,,,Declaration of consent required,,,,,,
,,,,,,,,,
100.4.2.4,100.4.2.4 Red (Photo-security area 3),3,"Area with the highest security requirements, protection of sensitive values strictly regulated access rights, usually secret scopes.",,,,,,
,,,,,,,,,
,,,<b>Aspect „carrying along“</b>,,,,,,
,,,,,,,,,
,,,<b>Company owned devices (independent from Mobile Device Management (MDM))</b>,,,,,,
,,,"Carrying along sealed devices allowed
Carrying along unsealed devices forbidden",,,,,,
,,,,,,,,,
,,,<b>Private devices of company employees (wearables with optics as well)</b>,,,,,,
,,,"Carrying along sealed devices allowed
Carrying along unsealed devices forbidden",,,,,,
,,,,,,,,,
,,,<b>Devices of contractors and visitors (wearables with optics as well)</b>,,,,,,
,,,Carrying along even sealed devices forbidden,,,,,,
,,,,,,,,,
,,,<b>Aspect „use“</b>,,,,,,
,,,,,,,,,
,,,<b>Video telephony/video conferencing (without recording)</b>,,,,,,
,,,"In defined meeting rooms with permanently installed equipment, otherwise upon approval",,,,,,
,,,,,,,,,
,,,<b>Photography/video recordings</b>,,,,,,
,,,"- No use of private devices or devices of contractors/visitors
- Allowed in exceptional cases upon approval (e.g. four-eyes principles, consent of the management)",,,,,,
,,,,,,,,,
,,,<b>Recording of persons and sound recording with company owned devices</b>,,,,,,
,,,"- Allowed only in exceptional cases upon approval
- Declaration of consent required",,,,,,
,,,,,,,,,
100.4.3,100.4.3 Personnel,3,,,,,,,
,,,,,,,,,
,,,<b>Ordinary employee/worker</b>,,,,,,
,,,Standard validation,,,,,,
,,,,,,,,,
,,,"<b>Head of department
IT department employees with special access rights</b>",,,,,,
,,,"Standard validation
Certificate of good conduct/criminal record certificate",,,,,,
,,,,,,,,,
,,,<b>Department Manager</b>,,,,,,
,,,"Standard validation
Certificate of good conduct/criminal record certificate
Intensive verifications of the CV, references",,,,,,
,,,,,,,,,
,,,"<b>General Manager, Directors, Executive Assistants, Security Manager</b>",,,,,,
,,,"Standard validation
Certificate of good conduct/criminal record certificate
Intensive verifications of the CV, references
Validation of certificates, diplomas and vocational training",,,,,,
,,,,,,,,,
,,,<b>Contractors & suppliers</b>,,,,,,
,,,Standard validation,,,,,,
,,,,,,,,,
,,,<b>Contractors & suppliers for critical infrastructure components</b>,,,,,,
,,,"Standard validation
Certificate of good conduct/criminal record certificate",,,,,,
,,,,,,,,,
100.4.4,100.4.4 Off-Premises workplace,3,,,,,,,
100.4.4.1,100.4.4.1 temporary working environment (e.g. hotel),3,,,,,,,
,,,,,,,,,
,,,<b>Confidentiality of the information</b>,,,,,,
,,,,,,,,,
,,,<b>Highest protection class „secret“</b>,,,,,,
,,,"Paper: principally not
Local data storage: principally not
Remote Access: principally not",,,,,,
,,,,,,,,,
,,,<b>Medium protection class „confidential“</b>,,,,,,
,,,"Paper: continuously under personal control
Local data storage: strongly encrypted or Mobile Device Management (MDM) active (remote deletion on demand)
Remote Access: strongly authenticated & strongly transport encrypted, integrity of the access device ensured, data „non-permanent“",,,,,,
,,,,,,,,,
,,,<b>Lowest protection class „internal“</b>,,,,,,
,,,"Paper: under personal control
Local data storage:  encrypted or Mobile Device Management (MDM) active (remote deletion on demand)
Remote Access: strongly authenticated & strongly transport encrypted, integrity of the access device ensured, data „non-permanent“",,,,,,
,,,,,,,,,
100.4.4.2,100.4.4.2 regular alternative working environment (in particular home office),3,,,,,,,
,,,,,,,,,
,,,<b>Confidentiality of the information</b>,,,,,,
,,,,,,,,,
,,,<b>Highest protection class „secret“</b>,,,,,,
,,,"Paper: principally not
Local data storage: principally not
Remote Access: principally not",,,,,,
,,,,,,,,,
,,,<b>Medium protection class „confidential“</b>,,,,,,
,,,"Paper: principally only temporarily
Local data storage: strongly encrypted or Mobile Device Management (MDM) active (remote deletion on demand)
Remote Access: strongly authenticated & strongly transport encrypted, integrity of the access device ensured, data „non-permanent“",,,,,,
,,,,,,,,,
,,,<b>Lowest protection class „internal“</b>,,,,,,
,,,"Paper: in office furniture with special closing
Paper: in office furniture with special closing
Remote Access: strongly authenticated & strongly transport encrypted, integrity of the access device ensured, data „non-permanent“",,,,,,
,,,,,,,,,
100.4.5,100.4.5 Classification levels,3,,,,,,,
100.4.5.1,100.4.5.1 Normal,3,"The potential damage is marginal, short-term nature, and limited to a single entity.",,,,,,
,,,,,,,,,
,,,<b>Protection objective: confidentiality</b>,,,,,,
,,,Internal,,,,,,
,,,,,,,,,
,,,<b>Color coding (for IT applications)</b>,,,,,,
,,,Green,,,,,,
,,,,,,,,,
